,entity id,alias,synonyms,scientific name,category,molecules
174,175,red currant,Red Currant,ribes,fruit,"{1032, 644104, 7695, 527, 8723, 5372954, 31260, 7710, 15394, 5280804, 4133, 6184, 65064, 31276, 439341, 10797, 14896, 5365811, 31289, 6202, 638011, 65084, 61503, 8768, 637511, 72, 72276, 72277, 1110, 5280343, 61020, 5280863, 637542, 1130, 107, 6251, 7284, 7288, 444539, 61054, 126, 637566, 9862, 650, 33931, 441484, 445070, 19602, 5284503, 10393, 8857, 5284507, 1183, 7847, 441005, 8365, 7858, 4788, 180, 5280443, 8892, 5363388, 10430, 5280445, 14529, 643779, 18635, 10448, 8914, 519382, 12508, 445154, 1549026, 643820, 439533, 240, 244, 11509, 247, 5280511, 768, 8452, 784, 5281553, 798, 5284639, 11552, 802, 7462, 2345, 5315892, 323, 638278, 6986, 7501, 637775, 26447, 170833, 338, 5280598, 13144, 1889, 643941, 8038, 9064, 6506, 875, 878, 11128, 107905, 5281670, 18827, 5318042, 8094, 6560, 6561, 6050, 11173, 6054, 5367719, 6569, 5281708, 6072, 853433, 79803, 6590, 8129, 8130, 107971, 454, 246728, 439246, 439263, 12257, 8163, 7654, 999, 998, 12777, 7150, 89594, 7165, 6654}"
175,176,white currant,White Currant,ribes,fruit,"{1032, 18827, 7695, 5281553, 19602, 5284507, 7710, 6560, 6561, 11173, 7462, 31276, 10797, 8365, 14896, 31289, 8892, 6590, 10430, 14529, 8129, 246728, 7501, 170833, 8914, 519382, 12508, 61020, 12257, 8163, 8038, 7654, 12777, 61054, 643820, 7165, 6654}"
176,177,dates,Date Palm,date palm,fruit,"{768, 8452, 644104, 527, 784, 8723, 8468, 31260, 798, 5284639, 11552, 15394, 802, 6184, 2345, 439341, 5365811, 5315892, 6202, 638011, 61503, 8768, 323, 638278, 637511, 72, 6986, 26447, 637775, 338, 1110, 5280343, 5280598, 13144, 61020, 5280863, 1889, 643941, 637542, 1130, 6251, 107, 878, 7284, 7288, 11128, 444539, 637566, 126, 560255, 6274, 9862, 650, 33931, 441484, 445070, 5284503, 8857, 10393, 5318042, 8094, 1183, 6561, 6050, 6054, 7847, 5367719, 6569, 5281708, 441005, 7858, 4788, 180, 6072, 853433, 5280443, 5363388, 5280445, 79803, 8130, 643779, 107971, 454, 18635, 446925, 439246, 10448, 25310, 439263, 1549026, 7654, 999, 998, 439533, 7150, 240, 244, 11509, 247, 89594, 5280511}"
177,178,durian,Durian,durio,fruit,"{1032, 644104, 31245, 527, 85522, 8723, 35349, 5283356, 31260, 15394, 6184, 439341, 13357, 5365811, 638011, 61503, 8768, 637511, 72, 78925, 1110, 61020, 5280863, 637542, 1130, 107, 77932, 6251, 7284, 8821, 7288, 444539, 7803, 637564, 637566, 126, 9862, 650, 33931, 441484, 445070, 7824, 19602, 5284503, 10393, 8857, 1183, 7847, 7848, 441005, 80046, 7858, 4788, 180, 5280443, 5363388, 15037, 5280445, 7361, 643779, 18635, 10448, 5321950, 61663, 61664, 1549026, 439533, 240, 7921, 61171, 244, 11509, 247, 75515, 5280511, 768, 8452, 65290, 784, 798, 5284639, 11552, 802, 2345, 5315892, 323, 638278, 6986, 637775, 26447, 338, 5280598, 13144, 77151, 1889, 643941, 878, 22383, 61808, 19310, 11124, 78199, 11128, 522111, 5281162, 5281163, 12170, 5318042, 8091, 6561, 6050, 6054, 5367719, 6569, 5281708, 62897, 7095, 6072, 853433, 79803, 8130, 107971, 454, 246728, 12748, 439246, 14296, 439263, 53425122, 7654, 999, 998, 7150, 7151, 8175, 62453, 89594, 123388}"
178,179,elderberry,Elder,sambucus nigra,fruit-berry,"{5634, 644104, 527, 8723, 31251, 31253, 31260, 15394, 5280804, 4133, 6184, 31272, 31276, 439341, 31283, 5365811, 6202, 638011, 61503, 8768, 7749, 5363269, 637511, 72, 1110, 5280343, 61020, 5280863, 612, 12389, 637542, 1130, 107, 6251, 12398, 12401, 12403, 7284, 7288, 444539, 7803, 637566, 126, 442501, 9862, 650, 33931, 441484, 445070, 5284503, 10393, 8858, 8857, 1183, 7847, 441005, 8365, 7858, 4788, 180, 5280443, 5363388, 5280445, 643779, 6341, 18635, 17100, 10448, 7894, 27866, 641248, 1549026, 7909, 5281515, 643820, 439533, 240, 244, 11509, 12534, 247, 520440, 5280511, 768, 8452, 784, 5281553, 16666, 798, 5284639, 11552, 802, 22311, 2345, 5315892, 3893, 7991, 12097, 323, 638278, 6986, 6989, 637775, 26447, 338, 5280598, 13144, 61275, 1889, 643941, 878, 11635, 11128, 379, 5367681, 5281167, 5281168, 6549, 5318042, 6428573, 8094, 6558, 6560, 6561, 6050, 11173, 6054, 5367719, 6569, 5281708, 61362, 6072, 853433, 79803, 8130, 107971, 454, 8139, 439246, 11732, 6433750, 11230, 439263, 637920, 8158, 8163, 7654, 999, 998, 7150, 89594, 7165, 6432254}"
179,180,feijoa,"Pineapple Guava, Guavasteen",acca sellowiana,fruit,"{768, 8452, 644104, 527, 784, 8723, 31260, 798, 5284639, 11552, 15394, 802, 6184, 2345, 439341, 5365811, 60979, 8499, 5315892, 638011, 61503, 8768, 643139, 323, 638278, 637511, 72, 6986, 26447, 637775, 338, 1110, 13654, 529496, 5280598, 13144, 61020, 5280863, 1889, 643941, 637542, 11622, 1130, 6251, 107, 519786, 878, 7284, 61303, 7288, 11128, 444539, 637566, 126, 9862, 650, 33931, 441484, 445070, 5284503, 8857, 10393, 5318042, 8094, 1183, 6561, 6050, 6054, 7847, 5367719, 6569, 5281708, 8365, 441005, 7858, 4788, 180, 6072, 853433, 10680, 5280443, 5363388, 5280445, 79803, 8130, 643779, 107971, 454, 18635, 439246, 10448, 439263, 1549026, 8163, 7654, 999, 998, 17129, 439533, 7150, 240, 244, 11509, 247, 89594, 5280511}"
180,181,fig,Fig,ficus carica,fruit,"{644104, 527, 4114, 8723, 31253, 31260, 31265, 15394, 5280804, 4133, 6184, 65064, 10795, 31276, 439341, 14896, 5365811, 31289, 6202, 638011, 65084, 638014, 61503, 8768, 7749, 637511, 72, 8785, 7762, 72276, 72277, 1110, 5280343, 61020, 5280863, 8294, 637542, 1130, 107, 6251, 61041, 7284, 7288, 444539, 637566, 126, 10882, 442501, 9862, 650, 33931, 441484, 445070, 19602, 5284503, 10393, 8857, 1183, 7847, 9895, 441005, 7342, 6436017, 7858, 179, 4788, 180, 5280443, 5363388, 5280445, 643779, 6654, 5317319, 18635, 10448, 8914, 1549018, 25310, 1549026, 5281515, 439533, 240, 244, 11509, 247, 11514, 5280511, 768, 8452, 784, 5281553, 8468, 798, 5284639, 11552, 802, 22310, 22311, 7463, 2345, 5315892, 5366074, 7997, 323, 638278, 5315912, 6986, 332, 637775, 26447, 338, 5280598, 13144, 1889, 643941, 8038, 9064, 1713001, 875, 878, 8051, 11128, 379, 107905, 18818, 7047, 18827, 5281167, 5281168, 12180, 6549, 5318042, 8093, 8094, 82336, 6560, 6050, 6561, 6054, 5367719, 8103, 7590, 6569, 5281708, 5352876, 12209, 6072, 853433, 6584, 79803, 957, 8129, 8130, 107971, 454, 439246, 1549778, 12756, 24020, 985, 439263, 7654, 999, 998, 7150, 5283321, 89594, 1550846}"
181,182,grape,Grape,vitis,fruit,"{62465, 1031, 644104, 429065, 5372954, 5319706, 15394, 18467, 5280804, 4133, 12327, 6184, 5364778, 439341, 15406, 5365811, 6202, 638011, 638014, 61503, 72, 5319754, 1110, 5280863, 5363817, 1130, 6251, 107, 7284, 17525, 7288, 8314, 444539, 126, 442501, 33931, 441484, 19602, 10393, 1183, 7342, 7344, 6436017, 180, 7351, 10430, 7362, 5370052, 6341, 445639, 18635, 10448, 102611, 61665, 16617, 439533, 240, 7409, 7410, 244, 11509, 5370101, 247, 8452, 24838, 11527, 522514, 8468, 11552, 7462, 11559, 2345, 5315892, 5366074, 323, 638278, 326, 332, 7501, 338, 342, 22873, 61814, 379, 107905, 5281162, 18827, 6549, 5318042, 6558, 7583, 6560, 6561, 6569, 6584, 853433, 8635, 6590, 16832, 107971, 454, 6440397, 446925, 8655, 11732, 7643, 7654, 16872, 7658, 5283316, 5366264, 89594, 221691, 5283329, 61953, 5364231, 527, 8723, 31251, 31260, 7711, 31268, 65064, 31276, 31278, 31283, 31284, 31289, 65084, 8768, 637511, 7762, 72276, 72277, 5280343, 61020, 7775, 612, 637542, 519786, 7795, 7797, 7803, 637566, 9862, 8842, 650, 445070, 10895, 7824, 6450832, 249494, 5284503, 8857, 7847, 7852, 441005, 7858, 4788, 5280443, 5363388, 5280445, 643779, 17100, 8908, 5280462, 61135, 8914, 7894, 7895, 8918, 6874, 6877, 61151, 10976, 1549025, 445154, 1549026, 7909, 7915, 5281516, 643820, 61177, 11005, 5280511, 768, 6915, 784, 798, 5284639, 5373729, 802, 22311, 3893, 7991, 7997, 12097, 5363526, 6986, 26447, 637775, 32594, 8021, 6998, 5280598, 13144, 7002, 61275, 1889, 643941, 8038, 9064, 875, 61293, 878, 19309, 8048, 22386, 8051, 11128, 569214, 16255, 8063, 13187, 7043, 61325, 12180, 14228, 2969, 8091, 8093, 8094, 6050, 11173, 6054, 5367719, 8103, 5281708, 12209, 6072, 8122, 79803, 957, 8130, 5318599, 61386, 8139, 439246, 985, 8158, 439263, 12257, 996, 998, 999, 522214, 1001, 7150, 8180, 5352438, 12278}"
182,183,guava,Guava,psidium guajava,fruit,"{644104, 429065, 5352463, 15394, 5280804, 6184, 5364778, 439341, 5365811, 7222, 16441, 6202, 638011, 5366844, 638014, 61503, 643139, 6213, 72, 5319754, 12366, 12367, 1110, 18522, 5352539, 5362782, 5352543, 5280863, 1130, 6251, 62572, 107, 77932, 7284, 17525, 1140, 7288, 8314, 444539, 126, 442501, 33931, 441484, 19602, 10393, 1183, 5281, 14505, 180, 26808, 10430, 519361, 30914, 7362, 196, 11463, 445639, 18635, 10448, 89316, 439533, 2733294, 240, 244, 11509, 247, 8452, 263, 8468, 16666, 11552, 7462, 7463, 2345, 12587, 8499, 5315892, 7476, 8500, 10558, 323, 638278, 5315912, 7501, 338, 22873, 356, 379, 18827, 5281168, 6549, 5318042, 6560, 6561, 7590, 6569, 16821, 6584, 853433, 111037, 6590, 107971, 454, 446925, 403919, 12756, 6616, 7654, 31225, 31226, 5283321, 89594, 6654, 31234, 4564493, 12813, 527, 5352973, 8723, 5283349, 31253, 31260, 7710, 31265, 7714, 31272, 8748, 31276, 14896, 31283, 60979, 31289, 5320250, 65084, 8768, 7749, 637511, 5366352, 637520, 7762, 440917, 5280343, 61020, 612, 637542, 7795, 7799, 7800, 61052, 11902, 637566, 10882, 9862, 8842, 650, 445070, 7824, 643731, 5284503, 8857, 5284507, 7847, 441005, 6508206, 7858, 4788, 5280443, 5363388, 8892, 5280445, 643779, 2758, 5317319, 17100, 8908, 8914, 7895, 25310, 1549026, 5281515, 5281516, 12020, 15094, 11005, 5280511, 768, 6915, 784, 5281553, 798, 5284639, 802, 22311, 7976, 6428458, 3893, 7997, 637758, 12097, 6986, 26447, 637775, 5280598, 13144, 12305247, 1889, 643941, 8038, 19309, 878, 19310, 8048, 22386, 8051, 11124, 6086514, 11126, 5281654, 11128, 8063, 13187, 7043, 5282707, 12180, 2969, 5367706, 8094, 6050, 11173, 6054, 5367719, 8103, 5281708, 6072, 8122, 79803, 957, 8130, 5318599, 12232, 246728, 439246, 62424, 985, 8158, 439263, 8163, 8164, 996, 998, 999, 7150, 7151, 8175, 11251, 8180, 5352438, 12278, 7165}"
183,184,hogplum,"Jobo, Yellow mombin, Spanish plum, Gully plum, Coolie plum, Hug plum, True yellow mombin, Golden apple, Java plum, Ambaralla",spondias,fruit,"{768, 8452, 261, 644104, 527, 784, 8723, 31260, 798, 5284639, 11552, 15394, 802, 4133, 6184, 2345, 439341, 5365811, 5315892, 638011, 61503, 8768, 323, 638278, 637511, 72, 6986, 26447, 637775, 338, 1110, 5280598, 13144, 22873, 61020, 5280863, 1889, 643941, 637542, 1130, 6251, 62572, 107, 61293, 878, 7284, 17525, 7288, 11128, 444539, 637566, 126, 8063, 9862, 650, 33931, 441484, 445070, 5284503, 8857, 10393, 5318042, 1183, 6561, 6050, 6054, 7847, 5367719, 6569, 5281708, 441005, 7858, 4788, 180, 6072, 853433, 5280443, 5363388, 5280445, 79803, 5054, 8130, 643779, 107971, 454, 18635, 439246, 10448, 439263, 1549026, 7650, 7654, 999, 998, 439533, 7150, 240, 244, 11509, 247, 89594, 5280511}"
184,185,jackfruit,Jak Fruit,artocarpus,fruit,"{768, 8452, 1031, 644104, 1032, 527, 784, 8723, 1049, 31260, 798, 5284639, 11552, 15394, 802, 6184, 2345, 439341, 5365811, 5315892, 638011, 7997, 61503, 8768, 323, 638278, 637511, 72, 6986, 26447, 637775, 338, 1110, 5280598, 13144, 7770, 61020, 5280863, 1889, 643941, 637542, 1130, 6251, 107, 519786, 878, 7284, 7288, 11128, 444539, 637566, 126, 13187, 65413, 9862, 650, 33931, 441484, 445070, 5284503, 11160, 8857, 10393, 5318042, 8094, 1183, 6561, 6050, 6054, 7847, 5367719, 11176, 6569, 5281708, 441005, 7858, 4788, 180, 6072, 853433, 5280443, 5363388, 5280445, 10430, 79803, 8130, 643779, 107971, 454, 18635, 439246, 10448, 89594, 439263, 1549026, 7654, 999, 998, 439533, 62445, 7150, 240, 244, 11509, 247, 11514, 5280511}"
185,186,kiwifruit,"Kiwi, Chinese gooseberry",actinidia,fruit,"{644104, 429065, 527, 5283345, 85522, 8723, 31253, 5283356, 31260, 31265, 15394, 5280804, 4133, 6184, 65064, 7720, 439341, 14896, 5365811, 6202, 638011, 65084, 61503, 8768, 7749, 637511, 72, 7762, 72276, 72277, 1110, 5280343, 7770, 61020, 5280863, 637542, 1130, 107, 6251, 5367412, 7284, 7288, 444539, 637564, 637566, 126, 11902, 10885, 9862, 650, 33931, 441484, 445070, 7824, 5284503, 61592, 10393, 8857, 1183, 7847, 441005, 7342, 7858, 4788, 180, 5364919, 5280443, 5363388, 5280445, 643779, 18635, 10448, 1549026, 439533, 240, 244, 11509, 12020, 247, 5280511, 768, 8452, 784, 798, 11039, 5284639, 11552, 802, 2345, 5315892, 311, 12097, 323, 638278, 6986, 7501, 637775, 26447, 338, 5280598, 13144, 1889, 643941, 9064, 878, 11124, 78199, 11128, 379, 8063, 107905, 1616260, 61325, 5281167, 5282708, 12180, 5318042, 8091, 8094, 6560, 6561, 6050, 6054, 5367719, 6569, 5281708, 12206, 6072, 853433, 6584, 79803, 957, 5362622, 222656, 8129, 8130, 107971, 454, 439246, 439263, 7654, 999, 998, 7150, 5366264, 89594, 6654}"
186,187,litchi,"Liechee, Liche, Lizhi, Lichee, Lychee",litchi,fruit,"{768, 8452, 644104, 527, 784, 8723, 7193, 16666, 31260, 798, 7711, 5284639, 11552, 15394, 802, 7460, 7462, 6184, 2345, 31276, 439341, 14896, 5365811, 5315892, 31289, 6202, 638011, 7997, 5282110, 61503, 8768, 323, 638278, 637511, 72, 6986, 26447, 637775, 338, 1110, 5280598, 13144, 61020, 5280863, 1889, 643941, 637542, 8038, 1130, 6251, 107, 19309, 878, 7284, 7288, 10873, 11128, 444539, 637566, 126, 5463936, 9862, 650, 33931, 441484, 18827, 445070, 5281167, 19089, 5284503, 8857, 10393, 5318042, 8094, 1183, 6560, 6561, 6050, 6054, 7847, 5367719, 6569, 5281708, 441005, 7858, 4788, 180, 6072, 853433, 142266, 5280443, 5363388, 5280445, 79803, 957, 8130, 643779, 107971, 454, 11463, 246728, 18635, 17100, 439246, 10448, 439263, 1549026, 7654, 999, 998, 643820, 439533, 7150, 240, 244, 11509, 247, 89594, 6654, 5280511}"
187,188,loquat,"Japanese medlar, Pipa, Japanese Plum, Chinese Plum",eriobotrya,fruit,"{31234, 1031, 644104, 527, 8723, 31260, 15394, 5280804, 6184, 439341, 13357, 5365811, 31289, 6202, 638011, 638014, 61503, 8768, 637511, 72, 5319754, 637520, 72276, 1110, 5280343, 61020, 5280863, 637542, 1130, 107, 6251, 20083, 7284, 7800, 7288, 8314, 444539, 637566, 126, 9862, 650, 33931, 441484, 445070, 5284503, 10393, 8857, 1183, 5281, 7847, 9895, 441005, 7858, 4788, 180, 5280443, 8892, 5363388, 5280445, 643779, 18635, 17100, 10448, 519382, 7895, 1549026, 643820, 439533, 240, 244, 11509, 247, 11005, 5280511, 768, 8452, 784, 798, 11039, 5284639, 11552, 802, 2345, 5315892, 7997, 323, 638278, 6986, 637775, 26447, 338, 5280598, 13144, 7002, 1889, 643941, 8042, 878, 11128, 379, 5281168, 6544, 5282707, 5318042, 8094, 6560, 6561, 6050, 6054, 5367719, 6569, 5281708, 6072, 853433, 79803, 957, 8130, 107971, 454, 12232, 8139, 439246, 12756, 8158, 8159, 439263, 996, 7654, 999, 998, 12777, 7150, 8180, 89594}"
188,189,malay apple,"Malay rose apple, Mountain apple, Rose apple,  Otaheite apple, Pink satin-ash, Pommerac",syzygium malaccense,fruit,"{5281168, 643941, 7194, 31260, 7519}"
189,190,mango,Mango,mangifera,fruit,"{8193, 8194, 5283335, 644104, 429065, 12810, 12813, 31245, 5352463, 527, 5364752, 8723, 31253, 1049, 125468, 31260, 7710, 31265, 15394, 6184, 65064, 31272, 8748, 439341, 1068, 31276, 14896, 31283, 5365811, 7222, 12344, 31289, 6202, 638011, 65084, 638014, 61503, 8768, 637511, 72, 5319754, 12366, 8785, 7762, 72276, 72277, 1110, 5280343, 61020, 5352543, 5280863, 612, 8294, 637542, 1130, 6251, 62572, 107, 7795, 7284, 17525, 7799, 7800, 7288, 7802, 8314, 444539, 637566, 126, 10885, 9862, 650, 33931, 441484, 445070, 7824, 19602, 643731, 5284503, 8857, 10393, 1183, 5281, 9895, 7847, 7341, 7342, 441005, 7858, 4788, 180, 5280443, 5363388, 5280445, 7360, 14529, 98497, 643779, 7362, 24261, 61126, 18635, 17100, 8908, 61135, 10448, 102611, 7895, 1549025, 1549026, 85730, 5352162, 643820, 439533, 2733294, 240, 3314, 244, 11509, 11508, 247, 12020, 11005, 14079, 5280511, 768, 8452, 6432005, 7945, 18698, 7438, 636687, 784, 8468, 16666, 798, 5284639, 11552, 802, 7460, 7462, 22311, 2345, 12587, 7469, 9855795, 5315892, 8500, 3893, 5365049, 5366074, 2879, 12097, 5352770, 323, 638278, 6986, 332, 6989, 26447, 637775, 5355856, 338, 5365587, 5280598, 13144, 1889, 643941, 8038, 11622, 9064, 61293, 878, 19309, 22386, 8051, 8052, 11128, 379, 16255, 107905, 5367682, 61325, 6544, 5281168, 12178, 12180, 13204, 6549, 2969, 5318042, 8094, 6560, 6561, 6050, 11173, 6054, 5367719, 8103, 6569, 5281708, 12209, 6072, 853433, 79803, 6590, 8129, 8130, 107971, 454, 12232, 460, 16220110, 439246, 1549778, 24020, 12756, 985, 8158, 439263, 637920, 11747, 996, 7654, 999, 998, 7144, 7658, 31211, 12777, 7150, 8180, 62453, 5352438, 5283316, 5283321, 89594, 6654}"
190,191,melon,Melon,cucurbitaceae,fruit,"{8193, 5283335, 644104, 85519, 527, 8723, 73750, 5319706, 42011, 31260, 7710, 5352481, 15394, 6184, 31276, 439341, 13357, 5365811, 31289, 6202, 638011, 638014, 61503, 8768, 643139, 7749, 637511, 72, 5353545, 5353547, 78925, 1110, 5280343, 7772, 61020, 5280863, 612, 61030, 12391, 637542, 1130, 6251, 107, 519786, 12401, 7795, 7284, 12403, 7800, 7288, 7803, 444539, 637566, 126, 560255, 9862, 650, 33931, 441484, 445070, 10895, 7824, 19602, 643731, 5284503, 61592, 8857, 10393, 1183, 5281, 9895, 7847, 441005, 7858, 4788, 180, 7351, 5280443, 5363388, 5280445, 7359, 3776, 643779, 2758, 445639, 61641, 18635, 17100, 8908, 10448, 8914, 8918, 17121, 1549026, 17129, 7915, 439533, 6434541, 240, 7410, 244, 11509, 8438, 247, 12020, 11005, 11006, 5280511, 768, 61185, 6915, 8452, 11529, 18698, 784, 61204, 61206, 798, 11039, 5284639, 11552, 802, 2345, 7983, 5315892, 3893, 7997, 5282110, 323, 638278, 1711944, 6986, 26447, 637775, 338, 10582, 5280598, 13144, 22873, 1889, 643941, 8038, 529253, 1713001, 878, 8048, 22386, 8051, 11124, 11635, 78199, 11128, 8063, 5367682, 13187, 88454, 18827, 5281168, 12178, 12180, 14228, 11160, 5318042, 8094, 6560, 6561, 61346, 6050, 6054, 5367719, 8103, 6569, 5281708, 12206, 12209, 31226, 6584, 6072, 853433, 79803, 957, 5362622, 222656, 8129, 8130, 107971, 454, 5318599, 12232, 246728, 8139, 446925, 439246, 1549778, 985, 8159, 439263, 7654, 999, 998, 8167, 62444, 7150, 5283316, 12278, 5283321, 89594}"
191,192,musk melon,Musk Melon,cucumis,fruit,"{644104, 527, 8723, 31260, 5362720, 15394, 6184, 65064, 31272, 439341, 5365811, 31289, 6202, 638011, 65084, 638014, 61503, 8768, 637511, 72, 5353545, 5353547, 8785, 72276, 72277, 1110, 5280343, 61020, 5280863, 637542, 5362792, 1130, 107, 6251, 7284, 7288, 444539, 637566, 126, 9862, 650, 33931, 441484, 445070, 5362833, 643731, 5284503, 10393, 8857, 1183, 7847, 441005, 7858, 4788, 180, 5280443, 5363388, 5280445, 643779, 18635, 8908, 5364941, 10448, 8914, 89594, 8918, 1549026, 439533, 6434541, 240, 244, 11509, 247, 5280511, 768, 8452, 784, 798, 5284639, 11552, 802, 2345, 5315892, 7997, 323, 638278, 6986, 637775, 26447, 5354833, 338, 5280598, 13144, 1889, 643941, 8038, 9064, 878, 8048, 78199, 11128, 107905, 5364631, 5318042, 8094, 6561, 6050, 6054, 5367719, 6569, 5281708, 6072, 853433, 79803, 8130, 107971, 454, 439246, 24020, 7127, 8159, 439263, 8164, 7654, 999, 998, 7150, 31219, 31226}"
192,193,naranjilla,"Lulo, Little Orange",solanum,fruit,"{768, 8452, 644104, 429065, 527, 784, 8723, 31260, 798, 11039, 5284639, 11552, 15394, 802, 6184, 2345, 31276, 439341, 5365811, 5315892, 638011, 61503, 8768, 323, 638278, 637511, 72, 6986, 26447, 637775, 338, 1110, 5280598, 13144, 61020, 5280863, 1889, 643941, 637542, 8038, 529253, 1130, 6251, 62572, 107, 878, 22386, 7284, 11124, 7288, 11128, 444539, 637566, 126, 9862, 650, 33931, 441484, 445070, 7824, 12180, 5284503, 8857, 10393, 5318042, 8091, 1183, 6561, 6050, 6054, 7847, 5367719, 6569, 5281708, 441005, 7858, 4788, 180, 16821, 6072, 853433, 5280443, 5363388, 5280445, 79803, 8130, 643779, 107971, 454, 61641, 18635, 17100, 8908, 439246, 10448, 439263, 1549026, 7654, 999, 641256, 998, 439533, 7150, 240, 244, 11509, 247, 89594, 7165, 5280511}"
193,194,orange,Orange,citrus,fruit,"{8194, 12294, 1031, 644104, 1032, 527, 5364752, 5283345, 8723, 5283349, 31253, 5372954, 31260, 31265, 15394, 4133, 6184, 65064, 8748, 439341, 1068, 14896, 5365811, 31289, 5320250, 638011, 31291, 6202, 638014, 65084, 16441, 61503, 8768, 442428, 637511, 72, 12367, 86609, 7762, 72276, 72277, 7765, 5280343, 1110, 11744854, 440917, 61020, 66654, 5280863, 1119, 326240, 61030, 12391, 637542, 1130, 6251, 62572, 107, 7794, 7284, 7799, 7288, 444539, 637566, 126, 8835, 442501, 9862, 8842, 33931, 441484, 650, 445070, 7824, 6432404, 5284503, 72344, 8857, 8858, 5284507, 10393, 1183, 7847, 6826, 61098, 441005, 6508206, 7342, 7858, 4788, 180, 5280443, 5363388, 8892, 5280445, 14529, 643779, 11463, 5317319, 85704, 18635, 17100, 10448, 3819217, 8914, 102611, 7895, 1549018, 6877, 1549025, 1549026, 8186, 7909, 5281515, 5281516, 439533, 643820, 240, 244, 11509, 12020, 6918391, 247, 145659, 5281534, 5281535, 5280511, 768, 8452, 7945, 7438, 7439, 784, 5281553, 235284, 443158, 798, 5284639, 11552, 802, 7460, 7461, 7462, 22311, 7463, 2345, 12587, 7469, 7983, 9855795, 5315892, 8500, 7991, 9017, 6428986, 20797, 12097, 323, 638278, 5281607, 6986, 332, 6989, 26447, 637775, 170833, 338, 61780, 5280598, 13144, 8025, 1889, 4453, 643941, 9064, 61293, 878, 880, 22386, 5281654, 11128, 10106, 107905, 18818, 5354882, 62350, 5281680, 5281168, 8082, 12180, 6549, 11160, 93081, 5318042, 8091, 2969, 8094, 6560, 16800, 6561, 61346, 228769, 6050, 6054, 5367719, 5281697, 6569, 5281708, 1268142, 6072, 853433, 79803, 8635, 957, 8129, 26049, 107971, 8130, 454, 5318599, 17868, 446925, 439246, 403919, 24020, 12756, 6616, 11230, 439263, 288227, 8164, 7654, 999, 998, 8167, 92138, 68077, 7150, 8175, 442355, 5352438, 8184, 89594, 5283324, 6654}"
194,195,bitter orange,"Seville orange, Sour orange, Bigarade orange, Marmalade orange",citrus,fruit,"{8194, 8130, 454, 17100, 8205, 8914, 61780, 7765, 284, 5365982, 1549025, 10402, 1549026, 8103, 6184, 176, 177, 180, 589365, 31289, 8635, 957}"
195,196,papaya,"Papaw, Pawpaw",carica,fruit,"{12294, 1031, 644104, 429065, 1032, 31246, 527, 85522, 8723, 31253, 7704, 7193, 1049, 31260, 7710, 8222, 15394, 4133, 6184, 7720, 31272, 31276, 439341, 9261, 5365811, 31284, 31289, 5320250, 638011, 6202, 12348, 638014, 61503, 8768, 7237, 637511, 72, 5319754, 7762, 1110, 61015, 15448, 7770, 61020, 5280863, 12388, 12389, 637542, 12391, 1130, 6251, 107, 519786, 12398, 12401, 12403, 7284, 12405, 1140, 7799, 7288, 61048, 8314, 7803, 444539, 126, 11902, 637566, 9862, 650, 33931, 441484, 445070, 7824, 7826, 102550, 5284503, 8857, 10393, 1183, 5281, 7847, 7341, 8365, 7342, 441005, 7858, 4788, 180, 8375, 5364409, 22201, 7353, 5363388, 8892, 10430, 5280443, 3776, 5280445, 643779, 196, 2758, 11463, 445639, 5324489, 18635, 17100, 8908, 10448, 8914, 7895, 1549026, 7909, 5281515, 643820, 439533, 240, 8698, 244, 11509, 12534, 247, 12020, 11005, 6321405, 5280511, 11520, 768, 61184, 6915, 8452, 11006, 11527, 264, 263, 784, 5281553, 522514, 284, 798, 11039, 5284639, 11552, 802, 7460, 7461, 7462, 7463, 7976, 2345, 2346, 12587, 5315892, 3893, 7991, 9016, 11579, 7997, 323, 638278, 5363526, 6986, 6989, 7501, 26447, 637775, 338, 5280598, 13144, 22873, 1889, 643941, 8038, 1713001, 8042, 875, 878, 22386, 8051, 11635, 11128, 379, 11142, 6544, 12178, 12180, 13204, 6549, 2969, 5318042, 8091, 8093, 8094, 6428573, 6560, 11168, 6561, 6050, 5541, 7590, 5367719, 8103, 6054, 6569, 5281708, 12206, 16821, 6584, 6072, 853433, 79803, 957, 6590, 222656, 8129, 8130, 107971, 454, 8139, 446925, 439246, 1549778, 12756, 985, 11230, 439263, 8158, 7650, 7654, 999, 998, 12777, 7150, 7151, 8175, 8174, 8180, 8182, 89594, 7165, 6432254}"
196,197,mountain papaya,"Papaya, Mountain pawpaw, Papayuelo, Chamburo",vasconcellea,fruit,"{8194, 12293, 9862, 7559, 18698, 18827, 7824, 7826, 12180, 14228, 5366038, 8091, 8093, 3102, 31265, 7714, 4133, 6054, 519845, 31272, 31276, 13357, 12206, 12209, 8499, 5364532, 31284, 8375, 5364409, 31291, 7997, 638014, 16330, 8139, 17100, 24020, 22873, 5321950, 5362782, 7650, 11622, 61030, 12777, 31210, 7658, 62572, 61293, 7150, 7151, 22386, 7795, 17525, 15606, 11902}"
