,entity id,alias,synonyms,scientific name,category,molecules
11,12,anise brandy,Brandy,anise,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
12,13,apple brandy,Anise Brandy,apple,beverage alcoholic,"{62465, 1031, 263, 5364231, 31249, 8468, 1049, 7711, 31265, 12327, 9256, 5364778, 8748, 31284, 638014, 637758, 7749, 326, 7501, 7761, 7762, 8025, 7772, 83036, 7775, 8038, 19310, 1136, 8051, 9589, 61814, 7797, 7800, 379, 11902, 126, 16255, 10885, 9862, 8073, 5281167, 14228, 5318042, 8091, 8094, 6560, 6561, 6054, 8103, 9895, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 7361, 7362, 61384, 61386, 460, 8908, 14286, 10448, 10976, 7654, 16617, 7658, 643820, 11508, 31225, 7165}"
13,14,armagnac brandy,Armanac Brandy,vitis vinifera,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
14,15,blackberry brandy,Brackberry Brandy,blackberry,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 177, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
15,16,cherry brandy,Cherry Brandy,prunus,beverage alcoholic,"{62465, 263, 5364231, 8073, 31249, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 7165, 126}"
16,17,cognac brandy,Cognac Brandy,vitis,beverage alcoholic,"{62465, 12293, 5364231, 5283335, 1031, 31242, 5283339, 1032, 527, 31249, 31251, 1049, 31260, 7710, 7711, 31265, 8738, 4133, 12327, 7720, 9256, 5364778, 10795, 8748, 31276, 15406, 31283, 31289, 638014, 7749, 5284421, 110664, 5319754, 12366, 12367, 7761, 7762, 7765, 8792, 15448, 83036, 7772, 61020, 7775, 612, 107, 1136, 20083, 7795, 7284, 17525, 7799, 7800, 7797, 10362, 8314, 444539, 11902, 126, 10883, 24197, 1550470, 9862, 135, 520326, 650, 10885, 61586, 61592, 5284507, 1183, 5281, 20653, 7342, 5364399, 7344, 14514, 5363388, 8892, 10430, 3776, 7361, 14529, 98497, 7362, 445639, 5324489, 17100, 10957, 5364941, 8908, 10448, 11468, 7895, 5321950, 61663, 10976, 61665, 7909, 16617, 643820, 7409, 12529, 11508, 11005, 6321405, 11520, 11527, 263, 12041, 7945, 18698, 102667, 8468, 7957, 284, 11552, 15654, 8500, 3893, 5366074, 5282108, 7997, 637758, 12097, 325, 326, 17739, 332, 170833, 10582, 8025, 61275, 8038, 11622, 61293, 19310, 8048, 880, 22386, 8051, 8052, 9589, 61814, 379, 569214, 16255, 8063, 13187, 7043, 7559, 8073, 18827, 12178, 2969, 5318042, 8091, 8093, 8094, 6560, 6561, 7590, 8103, 6054, 62374, 12209, 62900, 6584, 12729, 8122, 957, 6590, 8129, 24516, 5318599, 12232, 61384, 61386, 8139, 460, 246728, 14286, 8655, 1549778, 24020, 12756, 985, 8158, 11747, 996, 8163, 7654, 7655, 999, 998, 7658, 8167, 7150, 7151, 8174, 8180, 62453, 5283316, 8186}"
17,18,papaya brandy,Papaya Brandy,papaya,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 12508, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
18,19,pear brandy,"Pear Brandy, Palinka, Poire Williams, Rakia, Tuica",pear,beverage alcoholic,"{62465, 263, 1031, 5364231, 31251, 8468, 1049, 31260, 7711, 31265, 12327, 31272, 9256, 638014, 637758, 7749, 326, 7762, 8025, 5463904, 8038, 19310, 1136, 8051, 9589, 61814, 7797, 7800, 379, 11902, 126, 16255, 8073, 5281162, 5281167, 5318042, 8091, 8094, 6560, 6561, 5362592, 6054, 8103, 20653, 5364399, 7344, 6584, 5363388, 957, 5463485, 8892, 10430, 7361, 7362, 61386, 460, 8908, 14286, 10976, 7654, 7144, 16617, 643820, 11508}"
19,20,plum brandy,"Plum Brandy, Slivovitz, Tuica, Ljivovica, Asliwowica, Slivovitza, Schlivowitz, Slivovitsa",damson,beverage alcoholic,"{62465, 263, 1031, 5364231, 527, 31249, 31251, 8468, 5366038, 1049, 7711, 31265, 4133, 12327, 9256, 31284, 637758, 7749, 326, 7501, 637520, 7762, 8025, 8038, 8042, 16237, 19310, 1136, 22386, 8051, 11124, 9589, 61814, 7797, 7800, 7802, 379, 11902, 16255, 126, 8063, 8073, 5318042, 8091, 8094, 6560, 6561, 6054, 8103, 20653, 8365, 5364399, 7344, 16821, 6584, 5363388, 957, 8892, 10430, 3776, 7361, 7362, 61386, 460, 14286, 12508, 10976, 12257, 7909, 7654, 16617, 7915, 643820, 11508, 8184}"
20,21,raspberry brandy,Raspberry Brandy,rubus idaeus,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 5282108, 8892, 10430, 7361, 7362, 637758, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 5363817, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
